group_id,canonical,leg,joint,bodyId,type,instance,somaSide,somaNeuromere,display_evidence_class,legacy_comparison,physiological_action_in_this_cell_measured
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,823665,Ti flexor MN,Ti flexor MN_R,R,T3,confirmed_direction_candidate,different_muscle_label_same_mapped_action,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,827968,Ti flexor MN,Ti flexor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,840740,Ti flexor MN,Ti flexor MN_R,R,T3,annotation_only,legacy_target_unresolved,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,910178,Ti flexor MN,Ti flexor MN_R,R,T3,annotation_only,legacy_target_unresolved,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,910296,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,1050013311,Ti flexor MN,Ti flexor MN_R,R,T3,annotation_only,different_joint_or_action,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,1050032839,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,annotation_only,legacy_target_missing,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,1050160514,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,1050202461,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,1050303231,Ti flexor MN,Ti flexor MN_R,R,T3,confirmed_direction_candidate,different_muscle_label_same_mapped_action,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,1050460102,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,confirmed_direction_candidate,different_muscle_label_same_mapped_action,False
T3R:knee_flexor,knee_flexor,T3R,femur-tibia,1059707690,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:root_pra,root_pra,T3R,thorax-coxa,800290,Pleural remotor/abductor MN,Pleural remotor/abductor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T3R:root_pra,root_pra,T3R,thorax-coxa,800553,Pleural remotor/abductor MN,Pleural remotor/abductor MN_R,R,T3,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
