dataset,versioned_body_id,bodyId,type,instance,leg_position_from_subclass,subclass,somaSide,rootSide,somaNeuromere,exitNerve,superclass,mancBodyid,mancType,mancSerial,mcnsSerial,serialMotif,matchingNotes,status,statusLabel,leg,joint,anatomical_action,action_source,muscle_label_available,action_known,muscle_identity_evidence,legacy_targets,legacy_match_count,physiological_action_in_this_cell_measured
male-cns:v1.0,male-cns:v1.0:810639,810639,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,VProN,vnc_motor,19771,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:814489,814489,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,ProAN,vnc_motor,163686,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:818389,818389,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,ProAN,vnc_motor,23299,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:823168,823168,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,VProN,vnc_motor,16963,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:823281,823281,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,VProN,vnc_motor,153142,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:828939,828939,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,ProLN,vnc_motor,17226,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:1051367796,1051367796,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,ProAN,vnc_motor,158694,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:1051670893,1051670893,Tr flexor MN,Tr flexor MN_L,front,fl,L,,T1,ProAN,vnc_motor,26613,Tr flexor MN,,,,,Traced,Reviewed,T1L,coxa-trochanter,flexion,Azevedo 2024 Appendix A1 p3; A7-A8 pp24-26,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,Tr flexor,1,False
male-cns:v1.0,male-cns:v1.0:822092,822092,ltm MN,ltm MN_L,front,fl,L,,T1,ProLN,vnc_motor,24139,ltm MN,23016.0,,,,Traced,Reviewed,T1L,long_tendon,long_tendon_pull_muscle1_or2_unresolved,Azevedo 2024 Appendix A1 p4; A15-A16 pp38-40,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,ltm,1,False
male-cns:v1.0,male-cns:v1.0:822274,822274,ltm MN,ltm MN_L,front,fl,L,,T1,ProLN,vnc_motor,14069,ltm MN,11786.0,822274.0,,,Traced,Reviewed,T1L,long_tendon,long_tendon_pull_muscle1_or2_unresolved,Azevedo 2024 Appendix A1 p4; A15-A16 pp38-40,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,ltm,1,False
male-cns:v1.0,male-cns:v1.0:910334,910334,ltm MN,ltm MN_L,front,fl,L,,T1,ProLN,vnc_motor,47642,ltm MN,23016.0,,,,Traced,Reviewed,T1L,long_tendon,long_tendon_pull_muscle1_or2_unresolved,Azevedo 2024 Appendix A1 p4; A15-A16 pp38-40,True,True,current_MaleCNS_type_annotation; T1_cross_volume_target; T2_T3_serial_homology,ltm,1,False
